113443,2104964
2507764,3144269
1309249,465193
3688975,1916855
617279,2385635
3630567,2819454
2974357,1864193
3868434,2386557
2919983,254508
3944191,2219119
554625,1466054
123765,2623078
3765669,1671683
1428467,1621391
3421637,2052365
3316090,1095495
3335069,4031422
2900903,191739
3664400,78075
2294962,3041306
2340954,1307743
2996684,1582791
765607,1503404
656593,1246286
2740458,3338388
3984837,2227141
1750101,249782
1955166,2881460
239698,1752587
2953756,2828785
3348601,234616
483677,3897329
1126512,870018
2271333,1910538
515780,49362
3339484,990393
79910,827096
2846408,3857530
791956,1820629
3625753,2422308
2217452,3386129
1311484,3512545
649748,1086531
340523,1889519
2469275,3100367
3713256,2743207
3195285,1690739
2271933,1140855
4032083,1954805
2803825,2946486
3687428,1900518
1264712,1800721
117042,1914506
349320,1222304
880872,3419123
2027188,3772246
1478145,1681003
1989733,1447478
308054,2810088
277962,2504691
1517412,2252773
3299680,2268584
3752919,702299
930164,702514
1834553,1646238
2760893,260280
2989894,687000
1964319,3013764
587881,1654200
2059832,4022113
1247691,3060836
4042004,2040376
1022676,1518460
2818786,3647089
3965183,1007855
3767703,1580207
3601464,1020444
3172526,2695966
3866140,2760002
3694581,3079091
3479821,3047692
1954554,4048593
3135321,3692180
931376,3624715
2741765,1681629
1009014,3095415
2124228,2648499
3487078,417362
100489,4002808
30258,3789330
1955981,4033536
400330,2414386
1383165,875943
654019,2833316
3312570,3139669
372863,120356
2470053,1285400
336283,1155914
1682729,3284457
753060,1842618
609043,867526
1776614,3686705
2225645,3105354
231473,738232
2123428,1292051
3541372,2619249
3619689,802863
2747305,323683
2285134,864815
157619,998395
555936,1587971
1574065,1752985
2931626,316463
3006440,2834326
2146510,3511514
3557957,3936195
2215558,3955193
3200381,3093540
4037722,282666
3510115,3257828
3276886,2009573
2185072,2277143
1383157,2473755
2455459,1794816
1604029,1063819
3330442,271449
549615,1733846
1161704,1977228
395976,1419826
1624941,2577839
3165879,2451764
321328,704770
191369,709096
3303249,240320
3278953,3893482
3550880,1546754
1653195,1449670
407552,1194610
3393199,1889747
2802372,3308131
890726,363252
2444935,684503
922010,2984010
3578200,3327725
1093763,616916
1621497,1656952
3520383,1712861
37390,1319330
2247251,2463215
1010917,2311394
925763,2775410
4072357,530436
848842,3022253
2738478,2235323
1909282,3163111
1516888,708941
3792907,224311
3017181,2944219
2192390,3329668
566339,266443
3175284,3965892
636504,716169
543062,3306027
1837750,4008959
3311210,2505359
550977,950797
